tag,pattern,response,Sentiment
angermanagement-b,"I have an emotionally abusive relationship. We have been together for a year and a half. He got out of prison exactly a year ago and a half ago, and we have a infant. I love my boyfriend, and I dont want to leave without fighting for this first. Hes an emotionally disconnected person. We never say I love you to each other. Every fight is worse than the last one, and I dont know what to do. He doesnt let me speak because hes louder than me, and that makes me feel frustrated. I have another problem English is my second language. I pay half of the bills, and every time I want to speak to him, he kicks me out of the house. He apologizes sometimes. I feel like Im the only one fighting for this. He agreed to have counseling.","A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?|It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you|First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",negative
relationship-b,I dont know how to tell someone how I feel about them. How can I get better at expressing how I feel?,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
self-esteem-B,On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest.,"Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
angermanagement-b,"When I got home, my boyfriend and I got into an argument. He got upset and he started hitting his face. That is the first time he has ever done that, but I would be lying if I said that didnt scare me. I locked myself in the room.","A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?|It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you|First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",negative
substanceabuse-a,I over endulge when I drink alcohol and feel extremely guilty about it the next day,"Studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well. Â I would recommend that you speak with someone abut your relationship and your concerns. Â Not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals. Â Being more aware of your relationship will help you in the future when re-engaging in personal relationships.|The first step to change is to admit that you have a problem that is in need of change. Frequently our problems keep us in denial. Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone. The best course of treatment for you is to treat the problem head on.What else are you feeling along with this?|You are not hopeless, as you can see there are many people who care about your well being and believe you can overcome this. Why do you feel you are facing such things?",negative
user,"Im a female in my mid 20s.  Lately I tend to over drink and Ive become a very angry drunk. 

In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. 

But now, even if I dont do anything wrong and dont embarrass myself, I still feel really guilty after a night of drinking. I dont understand why Im feeling this way. Does this mean I have a problem?",,negative
relationship-b,How come no man sparks my interest?,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
user,"My fianc of 15 years is always helping out his family, and I feel like his family takes advantage of his kindness. Were about to get married this Saturday, but I feel like he is always gonna put them first instead of myself and our three kids. I am not enjoying our engagement at all.",,neutral
user,"Sometimes I cant stop thinking about life after death. I was raised in a religion that teaches that we will live on forever either in hell or in heaven. 
When I think of living forever even if it is in heaven which should be good, I feel overwhelmed. I dont like the thought of living forever and ever and ever. Sometimes I just cant get the thought out of my mind and the thoughts lead to panic and anxiety. 
Am I crazy? I dont think these thoughts are normal.",,neutral
user,My daughter seemed to be developing at a normal rate until about the age of 10. She then started to act younger than she is.    Now she only wants to play with younger kids and she doesnt act her age. I dont know why this is happening. Is this normal?,,negative
user,"Im 17 and Im sick and tired of going back and forth. Id like to stay at my mothers house. This problem has really affected me. Ive had anxiety attacks and suicidal thoughts and selfharm in the past. 

Currently Im going through anxiety and my thearapist is not available. How do I handle this?",,negative
greetings,good day,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",positive
griefandloss,My grandma and brother both passed away 11 years ago and sometimes at night I just cant stop crying while thinking about the good memories we had but wont have ever again. I cant sleep at night when the memories and tears come Ill be fine all day then at night...boom! its like waterfalls from my eyes. Why cant I stop crying?,"Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.|I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.|Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",positive
user,"She said she needed space after three days of dating, and she got a boyfriend a week later. I still really miss her, and she told me she still likes me.",,positive
self-esteem-A,I Sometimes I feel like I hate myself,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"About a month ago, I went through my boyfriends phone and found him messaging his exgirlfriend that he was dating before me. He gave her a promise ring when they were together, and he still had it hiding in his memory box in our sons room. I found many things on his phone, but that broke my heart the most. He deleted all the messages but two. I cant help thinking they were talking about the old times together or something like that. It really kills me, and I cant stop thinking about it.",,negative
user,"Im dating a guy I really love. We have our problems, but I could see myself with him long term. But theres this other guy who Ive had feelings for for awhile now. He gives me butterflies when we talk, and my heart beats fast when I see hes texted me, which i never felt with my current boyfriend.",,positive
domesticviolence,"He is verbally abusive. When he gets mad, he just yells at me. At times, I feel scared.","I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about|It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.|Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",negative
relationship-a,Why do I keep getting with men that emotionally abuse me?,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
user,"I am so terrified of having sex anymore because I have been told over and over that sex is dangerous even though me and my partner used both forms of protection. My partner is not happy about this and simply wants more sex, and honestly, I want to give that to her.",,negative
user,I would like to be able to have more positive relationships in the present.,,positive
user,Sometimes 3 times a night.,,positive
substanceabuse-b,"My boyfriend and I recently broke up. One week, we were fine, and the next, he told me he needed space. He completely deleted me out of his life. He does have an opiate addiction. He claimed he was sober, but since weve split, Ive heard many lies from him. Could he be using again, and does this addiction affect the mind?",Your friend needs to admit they have a problem. It can be more dangerous to take medication away than slowly tapering off of them. Like anything we put into our system our tolerance builds up and can effect us in different ways. I would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.|I would suggest having a conversation with them. Usually there are other signs of use that can often be missed. Â Be aware of behavior changes and mood swings. Be supportive and ready to listen often times individuals suffering from addiction will deny use until they are ready for help.|I'm sorry to hear that they has been having such a rough time. They're lucky to have you on his side. What do you think would be the root of the problem?,negative
family-conflict,My parents are threatening to get rid of the only things I still care about,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
angermanagement-a,My longterm girlfriend broke up with me recently. She says its because of my anger.,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
self-esteem-A,"Somehow its still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"I was with my friends fishing by a pond. I found a frog and stabbed it with my friends knife. Im not sure why I did it. My friends saw me do it it and were shocked and got really mad at me.
   Now if someone brings it up I get really upset and panicked. I dont know why I feel like this. Does this mean there is something wrong with me?",,negative
user,"Im in a relationship with my fianc and I currently found out that shes been cheating on me with a coworker. I was very upset none the less. I understand what she did was wrong, but I want to spend the rest of my life with her. So Im willing to forgive and move on. We have been together for a little over 9 years, and we have a son. At the beginning of our relationship, I was unfaithful and she caught me cheating. She forgave me for what Ive done to her and since then I been completely faithful. Im worried about our relationship and want to move forward  but its been very unsettling. All I can think about is her with another man. I dont know what to do or where to go for advice?",,positive
user,Ive gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,,negative
user,"My boyfriend has this close female friend. It always bothered me because of how close they are, so I decided to meet her. That made the situation worse because they were even closer than what I thought. They acted like a couple rather than friends with each other. There was no physical interaction, but he talks to this girl a lot. What can I do? Leaving him isnt an option.",,positive
angermanagement-b,My husband and I cant talk to each other without arguing,"A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?|It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you|First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",positive
domesticviolence,"Ive been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues however, he never wants to talk and often blames me for everything. Im always there when he needs my help. He tells me although I help him doesnt mean that I am a good person. He always discredits me as a woman and its hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do.","I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about|It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.|Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",negative
family-conflict,"I am always arguing with my father. He gets stressed over work and health and talks to me in a tone of voice that seems very demanding and seems more like yelling. I get upset often at this. Am I too sensitive? He always says I am overreacting but never seems to understand that he is hurting my feelings. No matter how often I try to tell him this, he never listens.","Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,"Im in my mid 20s with a husband and children. I love my family, but I feel like Ive lost my identity, and I dont know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know Id feel like worse without them. I loathe myself at times. I have an amazing life, so why cant I just enjoy it?",,negative
user,"When my boyfriend gets in a snit, he gives me the silent treatment for days. When I ask what is wrong, I get nothing no reply, no phone call. If he does reply, it is something very sarcastic and hurtful. He never admits he is wrong and never apologizes.",,neutral
angermanagement-a,I snap easy and push people away. I need help before I push my boyfriend away.,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
user,"It takes me a long time to fall asleep Id estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe.

I believe I started losing sleep after breaking up with a girlfriend of 8 years. Also, my fathers business went bankrupt and my mother has a chronic condition. I was under a lot of stress, and life lost meaning.

After improving my life and developing a habit of running and exercise to release stress, my symptoms improved. However in the past couple months, I started losing sleep again and having nightmares without warning. How can I solve this issue?",,negative
user,"Two years ago, I was separated from the military into my contract for medical issues. It has emotionally destroyed me. I now basically hate myself. Its embarrassing to be separated from the one place who takes anyone. My family has been in the armed forces, and it has always been my dream. I cant do this alone anymore, and now my family is even worried.",,negative
user,"I think Im annoying and bothersome, but my girlfriend says Im just fine. I dont think so, I think Im stressing everyone else out",,positive
self-esteem-B,How come I feel ugly?,"Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
self-esteem-A,How do I cope with never being good enough?,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
self-esteem-B,I hate everything I see in the mirror. I dont like being in pictures and always scribble out my face. Its stressing me out. I dont trust my parents enough to tell them and I dont know what to do.,"Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
angermanagement-a,I get really mad easily at my parents and family.,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
self-esteem-A,I feel like I failed myself,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,He goes out with her to dinnerbrunchmovies when we are not together we live 2 hours apart.,,neutral
user,Im a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesnt want to discuss it.,,negative
self-esteem-A,Im always told Im not good enough or trying hard enough.,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"I dont know how else to explain it. All I can say is that I feel empty, I feel nothing.  How do I stop feeling this way?",,negative
user,Im obsessing about a terrible breakup. Everything is a constant reminder. How do I move on?,,positive
self-esteem-A,How can I start accepting myself and be more confident?,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
family-conflict,Keeping secrets from my family,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",positive
user,"I constantly have this urge to throw away all my stuff. Its constantly on my mind and makes me feel anxious. I dont sleep because Im thinking about something I can get rid of. I dont know why I do it. I started years ago when I lived with my dad then I stopped when I moved in with my mom. Years later, it has started again.",,positive
self-esteem-B,"Im a teenage girl, and I feel very bad about my weight. I dont know how to make it stop.","Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
user,"My girlfriend and I have broken up and gotten back together numerous times in the past two years. We recently just broke up again last night on New Years Eve. When we break up, the very next day, she calls me and acts as if nothing has happened. She acts like everything is alright. This has been going on for two years. I do love her and care about her and her children a lot, but she seems really demanding as far as what she deserves from a man. She is always telling me that she deserves this and that from a man. It makes me feel like crap because I cannot give her everything that she wants. She told me one time that she wants a man who is going to be afraid to lose her. Is that a normal thing that women want, or should I just move on already? I am in my 30s and she is in her 40s.",,positive
goodbye,Have a good day,Talk to you later!|Bye!|Goodbye!,positive
user,"Ive had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but its so vivid, its like its happening again. Im scared and paranoid. I have depression, which I have been struggling with since a young age.",,positive
self-esteem-A,Why am I starting to not like myself?,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,Then turn right back around and say he loves me and needs me. This rollercoaster is crazy.,,positive
greetings,hi,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",positive
relationship-b,What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldnt have many friends because of who I am. Its strange I want to be loved but Id hate to be because I always lose.,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
user,"As a child, my parents injured my brother, so they went to prison. I was there when he had gotten hurt, but I cant seem to remember. I also cant remember being with them quite well. Its a blur.",,neutral
angermanagement-a,How can I control my temper?,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
domesticviolence,How do I get out of an abusive relationship?,"I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about|It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.|Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",negative
user,"I found out today that my wife is cheating on me. I love her, but she wont tell the truth even when I have proof. When I beg her to tell the truth, she yells, cusses, and gets a huge attitude.",,positive
user,"I have PTSD from childhood events and other traumas as an adult. I have panic attacks, nightmares, anger, and at times depression. I feel like Im always on the edge or just apathetic.  Can I fix this by myself?",,negative
user,I need help dealing with stress. How can I handle it all and feel less stressed out?,,negative
relationship-a,We do communicate but one of us has trouble accepting what the other person says. How can I fix things?,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
